Bot,Known customer - Suggest favourite order,"Hello, [RECOG_CUS_NAME] [RECOG_CUS_SURNAME]! Would you like to have a [RECALLED_PREF_SIZE] [RECALLED_PREF_DRINK] and [RECALLED_PREF_EXTRA] again?","Hello, [RECOG_CUS_NAME] [RECOG_CUS_SURNAME]! Can I get you a [RECALLED_PREF_SIZE] [RECALLED_PREF_DRINK] and [RECALLED_PREF_EXTRA] again?","Hi, [RECOG_CUS_NAME] [RECOG_CUS_SURNAME]! Would you like to have a [RECALLED_PREF_SIZE] [RECALLED_PREF_DRINK] and [RECALLED_PREF_EXTRA] again?","Hi, [RECOG_CUS_NAME] [RECOG_CUS_SURNAME]! Can I get you a [RECALLED_PREF_SIZE] [RECALLED_PREF_DRINK] and [RECALLED_PREF_EXTRA] again?","Welcome back, [RECOG_CUS_NAME] [RECOG_CUS_SURNAME]! Would you like to have a [RECALLED_PREF_SIZE] [RECALLED_PREF_DRINK] and [RECALLED_PREF_EXTRA] again?","Welcome back, [RECOG_CUS_NAME] [RECOG_CUS_SURNAME]! Can I get you a [RECALLED_PREF_SIZE] [RECALLED_PREF_DRINK] and [RECALLED_PREF_EXTRA] again?","Nice to see you, [RECOG_CUS_NAME] [RECOG_CUS_SURNAME]! Would you like to have a [RECALLED_PREF_SIZE] [RECALLED_PREF_DRINK] and [RECALLED_PREF_EXTRA] again?","Nice to see you, [RECOG_CUS_NAME] [RECOG_CUS_SURNAME]! Can I get you a [RECALLED_PREF_SIZE] [RECALLED_PREF_DRINK] and [RECALLED_PREF_EXTRA] again?",,,,,,,,,,,,,,,,,
Customer,Confirm preference,Yes.,Yeah.,Sure.,"Yes, thank you!","Yes, thanks!",Absolutely!,Definitely!,Please!,"What a memory? I would, yes!",You know me better!,Yeap!,"You got me! Yes, please.","Yes, please!",Exactly! Nice memory!,That's precisely it!,"Nice of you to remember! I would, yes.",How did you know?,"I'm becoming predictable! But that would do, yes!",Okay.,Why not?,Alright.,That will do.,Exactly!,I would.,
Customer,Request new drink,I think I will change it this time! ,Maybe not this time! ,Let's try something different. ,"No, I think I will try something else instead. ",Nice of you to remember! But I will take something else. ,I will try something else. ,"No, thanks. ","No, not today. ",No. ,,,,,,,,,,,,,,,,
Customer,Incorrect order recall response,I don't remember ever ordering that!,That is actually my least favourite!,"Erm, I have never ordered that actually.",No.,Nice of you to remember! But I don't think I have ever had that.,I've never had that.,Nope.,That is incorrect.,You are mixing my orders.,That is not true.,I don't want that.,That is not what I ordered.,,,,,,,,,,,,,
Bot,Request new drink,"Alright! Which drink can I get for you, [CUS_NAME]?","Alright! Which drink can I get for you today, [CUS_NAME]?","Alright! What would you like to have for a drink, [CUS_NAME]?",Alright! Which drink would you like today [CUS_NAME]?,Alright! Which drink would you like to have [CUS_NAME]?,"Ah, I must be mixing orders! Which drink can I get for you, [CUS_NAME]?","Ah, I must be mixing orders! Which drink can I get for you today, [CUS_NAME]?","Ah, I must be mixing orders! What would you like to have for a drink, [CUS_NAME]?","Ah, I must be mixing orders! Which drink would you like today [CUS_NAME]?","Ah, I must be mixing orders! Which drink would you like to have [CUS_NAME]?","I am very sorry, I thought I remembered your previous orders well! Which drink can I get for you, [CUS_NAME]?","I am very sorry, I thought I remembered your previous orders well! Which drink can I get for you today, [CUS_NAME]?","I am very sorry, I thought I remembered your previous orders well! What would you like to have for a drink, [CUS_NAME]?","I am very sorry, I thought I remembered your previous orders well! Which drink would you like today [CUS_NAME]?","I am very sorry, I thought I remembered your previous orders well! Which drink would you like to have [CUS_NAME]?","My memory is failing me! Which drink can I get for you, [CUS_NAME]?","My memory is failing me! Which drink can I get for you today, [CUS_NAME]?","My memory is failing me! What would you like to have for a drink, [CUS_NAME]?",My memory is failing me! Which drink would you like today [CUS_NAME]?,My memory is failing me! Which drink would you like to have [CUS_NAME]?,"Oh I am sorry, I must be getting old! Which drink can I get for you, [CUS_NAME]?","Oh I am sorry, I must be getting old! Which drink can I get for you today, [CUS_NAME]?","Oh I am sorry, I must be getting old! What would you like to have for a drink, [CUS_NAME]?","Oh I am sorry, I must be getting old! Which drink would you like today [CUS_NAME]?","Oh I am sorry, I must be getting old! Which drink would you like to have [CUS_NAME]?"
Customer,Recognition error response,I think you are mixing me with someone.,"Haha, no, not [RECOG_CUS_NAME] [RECOG_CUS_SURNAME].",Do I have a twin that I don't know?,"Sorry, I am not [RECOG_CUS_NAME] [RECOG_CUS_SURNAME].",I am not [RECOG_CUS_NAME] [RECOG_CUS_SURNAME].,I'm not [RECOG_CUS_NAME] [RECOG_CUS_SURNAME].,Not [RECOG_CUS_NAME] [RECOG_CUS_SURNAME].,"No, not [RECOG_CUS_NAME] [RECOG_CUS_SURNAME].","No, I am not [RECOG_CUS_NAME] [RECOG_CUS_SURNAME].","No, I'm not [RECOG_CUS_NAME] [RECOG_CUS_SURNAME].",I am not [RECOG_CUS_NAME] [RECOG_CUS_SURNAME].,My name is not [RECOG_CUS_NAME] [RECOG_CUS_SURNAME].,That is not my name.,,,,,,,,,,,,
Bot,Apologise and take name,I am terribly sorry! May I take your name? api_call getCustomerName,I am terribly sorry! What was the name? api_call getCustomerName,"I am terribly sorry! Can I take your name, please? api_call getCustomerName",My sincere apologies! May I take your name? api_call getCustomerName,My sincere apologies! What was the name? api_call getCustomerName,"My sincere apologies! Can I take your name, please? api_call getCustomerName",Maybe it is time for me to go to the optician! May I take your name? api_call getCustomerName,Maybe it is time for me to go to the optician! What was the name? api_call getCustomerName,"Maybe it is time for me to go to the optician! Can I take your name, please? api_call getCustomerName",I am sorry! I must be in need of more coffee and I am at the right place! May I take your name? api_call getCustomerName,I am sorry! I must be in need of more coffee and I am at the right place! What was the name? api_call getCustomerName,"I am sorry! I must be in need of more coffee and I am at the right place! Can I take your name, please? api_call getCustomerName",,,,,,,,,,,,,
Bot,Look into records,"Let me see if I have any previous records of you, [CUS_NAME].",Sorry about that [CUS_NAME]. Let me see if I have any previous orders from you.,,,,,,,,,,,,,,,,,,,,,,,
Customer,Waiting for looking into records,Okay.,Sure.,No worries.,Alright.,<SILENCE>,,,,,,,,,,,,,,,,,,,,
Bot,New customer - Request drink,"It seems to be your first time here! Which drink would you like to have, [CUS_NAME]?","It seems to be your first time here! What would you like to have for a drink, [CUS_NAME]?","It seems to be your first time here! Which drink can I get for you, [CUS_NAME]?",,,,,,,,,,,,,,,,,,,,,,
Bot,Known customer - Suggest favourite order,"I thought you looked familiar, [CUS_NAME]! Would you like a [RECALLED_PREF_SIZE] [RECALLED_PREF_DRINK] and [RECALLED_PREF_EXTRA] again?","I am sorry, [CUS_NAME]! Can I get you a [RECALLED_PREF_SIZE] [RECALLED_PREF_DRINK] and [RECALLED_PREF_EXTRA] again?","Ah, of course, [CUS_NAME]! Can I get you a [RECALLED_PREF_SIZE] [RECALLED_PREF_DRINK] and [RECALLED_PREF_EXTRA] again?",,,,,,,,,,,,,,,,,,,,,,
